,아프간 하운드_1,아프간 하운드_2,아프간 하운드_3,아프간 하운드_4,아프간 하운드_5,아프간 하운드_6,아프간 하운드_7,아프간 하운드_8,아프간 하운드_9,아프간 하운드_10,아프간 하운드_11,아프간 하운드_12,아프간 하운드_13,아프간 하운드_14,아프간 하운드_15,아프간 하운드_16,아프간 하운드_17,아프간 하운드_18,아프간 하운드_19,아프간 하운드_20
Skin,0.0,0.0,56.13899230957031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghan Hound,0.0,0.0,0.0,83.94599914550781,93.15479278564453,93.15604400634766,95.41378784179688,91.49899291992188,94.90922546386719,0.0,96.93321990966797,0.0,95.34818267822266,95.5805435180664,96.48408508300781,86.06466674804688,82.66300201416016,84.10379028320312,94.77577209472656,95.79179382324219
Hair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.52881622314453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.85020065307617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocker Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.85020065307617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.707496643066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Painting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.51036071777344,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0660171508789
Fashion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0660171508789
Wedding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0660171508789
Gown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0660171508789
Wedding Gown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0660171508789
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0660171508789
Robe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0660171508789
