,티베탄 마스티프_1,티베탄 마스티프_2,티베탄 마스티프_3,티베탄 마스티프_4,티베탄 마스티프_5,티베탄 마스티프_6,티베탄 마스티프_7,티베탄 마스티프_8,티베탄 마스티프_9,티베탄 마스티프_10,티베탄 마스티프_11,티베탄 마스티프_12,티베탄 마스티프_13,티베탄 마스티프_14,티베탄 마스티프_15,티베탄 마스티프_16,티베탄 마스티프_17,티베탄 마스티프_18,티베탄 마스티프_19,티베탄 마스티프_20
Hound,73.39082336425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.2726821899414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,62.889530181884766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14065933227539,0.0,0.0
Great Dane,55.30937957763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Museum,0.0,94.90362548828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,87.7084732055664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poster,0.0,83.2602310180664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,61.66057205200195,55.45839309692383,93.14439392089844,86.5016860961914,79.51993560791016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.80347442626953
Lion,0.0,61.66057205200195,55.45839309692383,93.14439392089844,86.5016860961914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chow,0.0,0.0,69.41270446777344,93.6994857788086,0.0,0.0,57.56494903564453,0.0,0.0,0.0,0.0,0.0,79.14058685302734,0.0,66.5323486328125,92.85847473144531,0.0,0.0,77.68860626220703,0.0
Bear,0.0,0.0,0.0,76.69542694091797,0.0,79.51993560791016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,79.7639389038086,57.79761505126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,0.0,82.04318237304688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,79.23177337646484,0.0,55.56712341308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,70.72885131835938,0.0,0.0,0.0,0.0,0.0,0.0,70.81942749023438,0.0,0.0,69.6660385131836,0.0,0.0,0.0
Beak,0.0,0.0,0.0,0.0,0.0,0.0,66.93342590332031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bird,0.0,0.0,0.0,0.0,0.0,0.0,66.93342590332031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shoreline,0.0,0.0,0.0,0.0,0.0,0.0,55.71944808959961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.48226165771484,0.0,98.16742706298828,64.62264251708984,90.1830825805664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.43241119384766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.05537414550781,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.43241119384766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.2619857788086,0.0,0.0,0.0
Pillow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.51139831542969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.51139831542969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.73635864257812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.08618927001953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.04783630371094,0.0,0.0,0.0,0.0,0.0,99.99759674072266,0.0
Terrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.517696380615234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.9814682006836,0.0,0.0,0.0,0.0,0.0,0.0
Coat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.42688751220703,0.0,0.0,0.0,0.0,0.0,0.0
Hair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.35830688476562,0.0,0.0,0.0,0.0,0.0,0.0
Hunting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.60865783691406,0.0,0.0,58.110172271728516,0.0,0.0,76.01795196533203
Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.05537414550781,0.0,0.0,0.0
Tree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.54401397705078,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.163753509521484,63.23438262939453,0.0,73.68016815185547
Face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.2884521484375,55.96974182128906,0.0,0.0
Drawing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.26829147338867,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.26829147338867,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.53974151611328,0.0
