,피니시 스피츠_1,피니시 스피츠_2,피니시 스피츠_3,피니시 스피츠_4,피니시 스피츠_5,피니시 스피츠_6,피니시 스피츠_7,피니시 스피츠_8,피니시 스피츠_9,피니시 스피츠_10,피니시 스피츠_11,피니시 스피츠_12,피니시 스피츠_13,피니시 스피츠_14,피니시 스피츠_15,피니시 스피츠_16,피니시 스피츠_17,피니시 스피츠_18,피니시 스피츠_19,피니시 스피츠_20
White Dog,89.85150909423828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.70431518554688,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,71.8117446899414,0.0,78.5294418334961,0.0,0.0,91.04496765136719,0.0,0.0,0.0,0.0,55.44125747680664,0.0,61.23329162597656,83.2015380859375,78.55814361572266,0.0,0.0,0.0,0.0,0.0
Wildlife,57.24211120605469,0.0,0.0,0.0,0.0,0.0,59.76181411743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fox,57.24211120605469,0.0,0.0,0.0,0.0,0.0,59.158355712890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arctic Fox,57.24211120605469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,97.42928314208984,63.03506851196289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.23704528808594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coyote,0.0,0.0,0.0,88.30411529541016,0.0,0.0,79.83186340332031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.809532165527344,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,68.50674438476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.762474060058594,87.0366439819336,0.0,0.0,66.8536148071289,73.02737426757812
Red Wolf,0.0,0.0,0.0,68.50674438476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0366439819336,0.0,0.0,66.8536148071289,73.02737426757812
Husky,0.0,0.0,0.0,58.261714935302734,0.0,0.0,56.93981170654297,55.722713470458984,68.5208740234375,97.47917175292969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.3095474243164,85.4517593383789,0.0
Chow,0.0,0.0,0.0,0.0,86.0551528930664,0.0,0.0,0.0,0.0,0.0,0.0,68.35547637939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,98.27366638183594,0.0,0.0,71.56069946289062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,98.27366638183594,0.0,0.0,71.56069946289062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.27592849731445,0.0,0.0
Kit Fox,0.0,0.0,0.0,0.0,0.0,0.0,59.158355712890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawn,0.0,0.0,0.0,0.0,0.0,0.0,57.778446197509766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.58953094482422,73.23599243164062,0.0,94.68489074707031,0.0,0.0,0.0,0.0,0.0,0.0,57.70676803588867,0.0,0.0
Police Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.85917663574219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.72935485839844,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.71030807495117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.6942138671875,99.57807922363281,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.60063171386719,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.60063171386719,0.0,0.0,0.0,0.0
Diaper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.94097900390625,0.0,0.0,0.0
Blanket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.25186920166016,0.0,0.0,0.0
Sleeping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.54405212402344,0.0,0.0,0.0
Asleep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.54405212402344,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.70497131347656,0.0,0.0,0.0
Newborn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.71247863769531,0.0,0.0,0.0
Baby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.71247863769531,0.0,0.0,0.0
Bed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.28514862060547,0.0,0.0,0.0
Tree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.27592849731445,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.488563537597656,84.32173156738281,0.0
