,세인트 버나드_1,세인트 버나드_2,세인트 버나드_3,세인트 버나드_4,세인트 버나드_5,세인트 버나드_6,세인트 버나드_7,세인트 버나드_8,세인트 버나드_9,세인트 버나드_10,세인트 버나드_11,세인트 버나드_12,세인트 버나드_13,세인트 버나드_14,세인트 버나드_15,세인트 버나드_16,세인트 버나드_17,세인트 버나드_18,세인트 버나드_19,세인트 버나드_20
Nature,0.0,0.0,86.95963287353516,0.0,80.8708724975586,80.2381820678711,0.0,0.0,0.0,0.0,0.0,0.0,62.450592041015625,0.0,0.0,0.0,69.73515319824219,0.0,0.0,0.0
Snowman,0.0,0.0,86.95963287353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,0.0,0.0,86.95963287353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,86.95963287353516,0.0,75.36524200439453,80.2381820678711,0.0,0.0,0.0,0.0,0.0,0.0,69.28812408447266,0.0,0.0,0.0,70.84972381591797,0.0,0.0,0.0
Eskimo Dog,0.0,0.0,81.76286315917969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,70.7052001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Bernard,0.0,0.0,0.0,90.7671127319336,98.2369613647461,94.19746398925781,98.11251831054688,93.74337005615234,85.3488998413086,97.83889770507812,98.92382049560547,0.0,69.36864471435547,97.25206756591797,85.49243927001953,84.60953521728516,72.94400787353516,97.08528900146484,98.07473754882812,0.0
Transportation,0.0,0.0,0.0,89.44197845458984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle,0.0,0.0,0.0,89.44197845458984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bike,0.0,0.0,0.0,89.44197845458984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bicycle,0.0,0.0,0.0,89.44197845458984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yard,0.0,0.0,0.0,0.0,0.0,80.2381820678711,0.0,0.0,0.0,0.0,0.0,0.0,62.450592041015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,71.06169891357422,0.0,0.0,0.0,0.0,0.0,0.0,90.93514251708984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,71.06169891357422,0.0,0.0,0.0,0.0,0.0,0.0,90.93514251708984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.16273498535156,0.0,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.16273498535156,0.0,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.16273498535156,0.0,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Football,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.16273498535156,0.0,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.16273498535156,0.0,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.16273498535156,0.0,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer Ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.16273498535156,0.0,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.16273498535156,0.0,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.39547348022461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mountain Range,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.73515319824219,0.0,0.0,0.0
Mountain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.73515319824219,0.0,0.0,0.0
Peak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.73515319824219,0.0,0.0,0.0
Police Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.568145751953125,0.0,0.0,99.64574432373047
