,마스티프_1,마스티프_2,마스티프_3,마스티프_4,마스티프_5,마스티프_6,마스티프_7,마스티프_8,마스티프_9,마스티프_10,마스티프_11,마스티프_12,마스티프_13,마스티프_14,마스티프_15,마스티프_16,마스티프_17,마스티프_18,마스티프_19,마스티프_20
Winter,0.0,96.65901947021484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,0.0,96.65901947021484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,96.65901947021484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.81942749023438,0.0,0.0,0.0,0.0,0.0
Snow,0.0,96.65901947021484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,96.65901947021484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,88.9990234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouth,0.0,70.42201232910156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lip,0.0,70.42201232910156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teeth,0.0,70.42201232910156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,58.97781753540039,0.0,66.51596069335938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.24649810791016,0.0,0.0,0.0,0.0,55.803672790527344,0.0,0.0,0.0
Boxer,0.0,0.0,77.83206176757812,0.0,55.48872375488281,0.0,0.0,0.0,0.0,95.59796905517578,0.0,0.0,0.0,99.39471435546875,0.0,0.0,0.0,0.0,0.0,69.52716064453125
Bulldog,0.0,0.0,77.83206176757812,0.0,95.56977844238281,0.0,0.0,0.0,0.0,96.43220520019531,0.0,0.0,0.0,99.39471435546875,0.0,0.0,0.0,0.0,0.0,77.45634460449219
Pig,0.0,0.0,74.04503631591797,0.0,0.0,0.0,0.0,82.70484924316406,0.0,0.0,88.60852813720703,0.0,0.0,0.0,0.0,59.323997497558594,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,60.02804183959961,0.0,0.0,95.48214721679688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chow,0.0,0.0,0.0,96.9902572631836,0.0,0.0,0.0,97.2902603149414,0.0,0.0,0.0,68.55377197265625,0.0,0.0,0.0,82.32560729980469,0.0,92.85847473144531,0.0,0.0
Zoo,0.0,0.0,0.0,57.473079681396484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Bulldog,0.0,0.0,0.0,0.0,64.1064224243164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pitbull,0.0,0.0,0.0,0.0,62.571781158447266,0.0,0.0,0.0,0.0,75.18973541259766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.37572479248047
Grass,0.0,0.0,0.0,0.0,0.0,68.43191528320312,94.9111557006836,0.0,0.0,89.92357635498047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,68.43191528320312,94.9111557006836,0.0,58.471405029296875,89.92357635498047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,65.63418579101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocker Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,65.63418579101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collie,0.0,0.0,0.0,0.0,0.0,0.0,58.336036682128906,0.0,60.72779846191406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.33424377441406,0.0,0.0,0.0,0.0,0.0,0.0,66.36443328857422,0.0,0.0,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.9963607788086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.471405029296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.29639434814453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cattle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.34137725830078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.24649810791016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.9593505859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.33155059814453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colt Horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.71761703491211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.9814682006836,0.0,0.0,0.0,0.0,0.0
Coat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.42688751220703,0.0,0.0,0.0,0.0,0.0
Hair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.35830688476562,0.0,0.0,0.0,0.0,0.0
Hunting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.60865783691406,0.0,76.01837921142578,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.68052673339844,0.0,0.0,0.0
Labrador Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.534549713134766,0.0
