,아메리칸 에스키모 도그_1,아메리칸 에스키모 도그_2,아메리칸 에스키모 도그_3,아메리칸 에스키모 도그_4,아메리칸 에스키모 도그_5,아메리칸 에스키모 도그_6,아메리칸 에스키모 도그_7,아메리칸 에스키모 도그_8,아메리칸 에스키모 도그_9,아메리칸 에스키모 도그_10,아메리칸 에스키모 도그_11,아메리칸 에스키모 도그_12,아메리칸 에스키모 도그_13,아메리칸 에스키모 도그_14,아메리칸 에스키모 도그_15,아메리칸 에스키모 도그_16,아메리칸 에스키모 도그_17,아메리칸 에스키모 도그_18,아메리칸 에스키모 도그_19,아메리칸 에스키모 도그_20
Husky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.07803344726562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.54702758789062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.54702758789062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beagle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.82150268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaguar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.84233093261719,0.0,0.0,0.0
Leopard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.84233093261719,0.0,0.0,0.0
Panther,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.84233093261719,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.84233093261719,59.19142150878906,0.0,0.0
Arctic Fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.19142150878906,0.0,0.0
Fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.19142150878906,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.06620788574219
