,스카이 테리어_1,스카이 테리어_2,스카이 테리어_3,스카이 테리어_4,스카이 테리어_5,스카이 테리어_6,스카이 테리어_7,스카이 테리어_8,스카이 테리어_9,스카이 테리어_10,스카이 테리어_11,스카이 테리어_12,스카이 테리어_13,스카이 테리어_14,스카이 테리어_15,스카이 테리어_16,스카이 테리어_17,스카이 테리어_18,스카이 테리어_19,스카이 테리어_20
Plant,0.0,93.69446563720703,0.0,79.86236572265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.00265121459961,0.0,0.0,0.0,0.0,79.54702758789062,0.0,0.0
Sheep,0.0,73.50579833984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,78.8932876586914,89.00057220458984,0.0,0.0,63.68648910522461,0.0,83.48300170898438,76.4838638305664,68.62836456298828,0.0,69.77345275878906,0.0,76.37174987792969,81.39676666259766,92.3816909790039,0.0,0.0,97.5729751586914
Puppy,0.0,0.0,75.2303466796875,0.0,0.0,0.0,70.85381317138672,59.073516845703125,0.0,82.74819946289062,0.0,0.0,0.0,0.0,0.0,0.0,80.94908905029297,70.76844024658203,0.0,0.0
White Dog,0.0,0.0,57.83012390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,0.0,0.0,56.7122917175293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Affenpinscher,0.0,0.0,0.0,59.84781265258789,83.82516479492188,97.378662109375,0.0,0.0,0.0,0.0,0.0,77.81555938720703,83.79706573486328,92.79828643798828,55.66502380371094,69.31420135498047,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,99.47684478759766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.26356506347656,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,0.0,58.618831634521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.19586181640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.51041412353516,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.19586181640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.51041412353516,0.0,0.0,0.0,0.0
Home Decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.69483947753906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.2510986328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulldog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.27955627441406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.91503143310547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.90195846557617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.57479858398438,0.0
Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0522689819336,0.0,0.0
Beagle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.82150268554688,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.963985443115234,0.0,0.0
Leash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.92039489746094,0.0
