,보르조이_1,보르조이_2,보르조이_3,보르조이_4,보르조이_5,보르조이_6,보르조이_7,보르조이_8,보르조이_9,보르조이_10,보르조이_11,보르조이_12,보르조이_13,보르조이_14,보르조이_15,보르조이_16,보르조이_17,보르조이_18,보르조이_19,보르조이_20
Martial Arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.55406951904297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.65361404418945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghan Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.72754669189453,0.0,63.3462028503418,0.0,60.114681243896484,57.59866714477539,0.0,0.0,95.96434020996094,0.0
Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.17292022705078,0.0,71.9882583618164,0.0,0.0,0.0,0.0,0.0
Red Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.14470672607422,0.0,58.01621627807617,0.0,0.0,0.0,0.0,0.0
Winter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.1754379272461,0.0,0.0,0.0,0.0,0.0
Snowman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.1754379272461,0.0,0.0,0.0,0.0,0.0
Snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.1754379272461,0.0,0.0,0.0,0.0,0.0
Horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.19911193847656,0.0,0.0,0.0,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.03276062011719,0.0,0.0
Hunting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.33222579956055,0.0,0.0
