,그레이트 피레니즈_1,그레이트 피레니즈_2,그레이트 피레니즈_3,그레이트 피레니즈_4,그레이트 피레니즈_5,그레이트 피레니즈_6,그레이트 피레니즈_7,그레이트 피레니즈_8,그레이트 피레니즈_9,그레이트 피레니즈_10,그레이트 피레니즈_11,그레이트 피레니즈_12,그레이트 피레니즈_13,그레이트 피레니즈_14,그레이트 피레니즈_15,그레이트 피레니즈_16,그레이트 피레니즈_17,그레이트 피레니즈_18,그레이트 피레니즈_19,그레이트 피레니즈_20
Outdoors,0.0,0.0,0.0,87.58088684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.59495544433594,0.0,0.0,0.0,57.518558502197266,0.0,0.0,0.0
Winter,0.0,0.0,0.0,87.58088684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.59495544433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,0.0,0.0,0.0,87.58088684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.59495544433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,63.716026306152344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear,0.0,0.0,0.0,0.0,63.716026306152344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,0.0,0.0,0.0,83.36944580078125,76.72335052490234,0.0,64.46786499023438,91.53129577636719,0.0,0.0,64.88025665283203,0.0,0.0,0.0,0.0,82.16767120361328,94.64177703857422,83.67729949951172
Strap,0.0,0.0,0.0,0.0,0.0,0.0,69.45111083984375,0.0,0.0,0.0,0.0,95.0567398071289,0.0,0.0,77.4106216430664,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,0.0,0.0,0.0,0.0,59.84624481201172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.45454406738281,0.0,0.0,0.0,63.213287353515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.4083023071289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.10848236083984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.60987854003906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.60987854003906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brochure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.60987854003906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sheep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.62224578857422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.7024040222168,0.0,59.54258728027344,59.37278366088867,0.0,0.0,0.0,0.0,0.0,69.5945053100586,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.7024040222168,0.0,0.0,59.37278366088867,0.0,0.0,0.0,0.0,0.0,69.5945053100586,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.94066619873047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.88095474243164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.88095474243164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portrait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.88095474243164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photography,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.88095474243164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.54258728027344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.54258728027344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.91264343261719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.74229431152344,0.0,0.0,66.94742584228516,88.96786499023438,55.66130828857422,0.0,56.812721252441406,0.0
Leash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.54467010498047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asleep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.197410583496094,0.0,0.0,0.0,0.0,0.0,0.0
Sleeping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.197410583496094,0.0,0.0,0.0,0.0,0.0,0.0
Ground,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.2180061340332,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.119712829589844,0.0,0.0,0.0,0.0
Collie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.690940856933594,0.0,0.0,0.0,0.0
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4677963256836,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.1487922668457,0.0,0.0,0.0
Soccer Ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.99056243896484,0.0,0.0
Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.99056243896484,0.0,0.0
Sports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.99056243896484,0.0,0.0
Soccer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.99056243896484,0.0,0.0
Football,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.99056243896484,0.0,0.0
Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.99056243896484,0.0,0.0
Team Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.99056243896484,0.0,0.0
Ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.99056243896484,0.0,0.0
Labrador Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1865348815918,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.14580535888672,0.0
