,잉글리시 코커 스패니얼_1,잉글리시 코커 스패니얼_2,잉글리시 코커 스패니얼_3,잉글리시 코커 스패니얼_4,잉글리시 코커 스패니얼_5,잉글리시 코커 스패니얼_6,잉글리시 코커 스패니얼_7,잉글리시 코커 스패니얼_8,잉글리시 코커 스패니얼_9,잉글리시 코커 스패니얼_10,잉글리시 코커 스패니얼_11,잉글리시 코커 스패니얼_12,잉글리시 코커 스패니얼_13,잉글리시 코커 스패니얼_14,잉글리시 코커 스패니얼_15,잉글리시 코커 스패니얼_16,잉글리시 코커 스패니얼_17,잉글리시 코커 스패니얼_18,잉글리시 코커 스패니얼_19,잉글리시 코커 스패니얼_20
Poodle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.14915466308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beagle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.60521697998047,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.81233215332031,0.0,68.79324340820312,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.81233215332031,0.0,68.79324340820312,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.080039978027344,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.59676361083984,0.0,0.0,0.0
Fashion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.59676361083984,0.0,0.0,0.0
Wedding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.59676361083984,0.0,0.0,0.0
Gown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.59676361083984,0.0,0.0,0.0
Wedding Gown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.59676361083984,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.59676361083984,0.0,0.0,0.0
Robe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.59676361083984,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.45641326904297
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.45641326904297
