,카디건 웰시 코기_1,카디건 웰시 코기_2,카디건 웰시 코기_3,카디건 웰시 코기_4,카디건 웰시 코기_5,카디건 웰시 코기_6,카디건 웰시 코기_7,카디건 웰시 코기_8,카디건 웰시 코기_9,카디건 웰시 코기_10,카디건 웰시 코기_11,카디건 웰시 코기_12,카디건 웰시 코기_13,카디건 웰시 코기_14,카디건 웰시 코기_15,카디건 웰시 코기_16,카디건 웰시 코기_17,카디건 웰시 코기_18,카디건 웰시 코기_19,카디건 웰시 코기_20
Text,0.0,0.0,88.9477310180664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,72.68274688720703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,72.68274688720703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crowd,0.0,0.0,67.62139892578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,66.34058380126953,99.58314514160156,0.0,0.0,99.60665130615234,0.0,0.0,0.0,78.50231170654297,0.0,0.0,0.0,55.04000473022461,0.0,0.0,0.0,0.0
Leash,0.0,0.0,0.0,0.0,90.50935363769531,0.0,0.0,92.70491790771484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,85.77357482910156,0.0,0.0,70.29070281982422,0.0,99.61650085449219,0.0,0.0,0.0,59.192413330078125,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,75.21857452392578,0.0,0.0,0.0,0.0,99.61650085449219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collie,0.0,0.0,0.0,0.0,0.0,79.1427230834961,0.0,0.0,0.0,0.0,69.62248992919922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,63.05434799194336,0.0,0.0,0.0,0.0,0.0,61.98802185058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panther,0.0,0.0,0.0,0.0,0.0,63.05434799194336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaguar,0.0,0.0,0.0,0.0,0.0,63.05434799194336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leopard,0.0,0.0,0.0,0.0,0.0,63.05434799194336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,0.0,0.0,0.0,58.54829406738281,0.0,0.0,63.037784576416016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,0.0,0.0,0.0,0.0,0.0,98.59481048583984,0.0,0.0,0.0,68.35457611083984,64.06437683105469,0.0,0.0,0.0,91.03083038330078,0.0,56.504981994628906,59.080379486083984,0.0
Paper,0.0,0.0,0.0,0.0,0.0,0.0,58.49409484863281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.468719482421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frisbee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.468719482421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.61650085449219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ocean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.7320327758789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.7320327758789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.7320327758789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shoreline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.02863311767578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.20972442626953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.20972442626953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.17680358886719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0506362915039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dune,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.7939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.10697555541992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33574295043945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Landscape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.58291244506836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ground,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.175262451171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Summer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.512054443359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.14098358154297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blossom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.14098358154297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.14098358154297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.98802185058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kit Fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.98802185058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.93143844604492,0.0,74.33546447753906,0.0,0.0,0.0,0.0,0.0,0.0
Red Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.93143844604492,0.0,68.10260772705078,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.51666259765625,0.0,0.0,0.0,0.0,98.11273956298828,0.0,0.0
Bench,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.51666259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Bernard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.479942321777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.59650421142578,0.0,0.0,0.0,0.0,0.0,0.0
French Bulldog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.9839859008789,0.0,0.0,0.0,0.0,0.0
Pillow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.6703109741211,0.0,88.48056030273438,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.6703109741211,0.0,92.41722106933594,0.0,0.0
Bed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.72286987304688,0.0,0.0
Room,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.40692901611328,0.0,0.0
Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.40692901611328,0.0,0.0
Indoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.40692901611328,0.0,0.0
Couch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.71527099609375,0.0,0.0
Cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.438838958740234,0.0,0.0
Blanket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.324012756347656,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.41389846801758,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.41389846801758,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.44356536865234,0.0
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.39414978027344
Standing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.13115692138672
