,아메리칸 코커 스패니얼_1,아메리칸 코커 스패니얼_2,아메리칸 코커 스패니얼_3,아메리칸 코커 스패니얼_4,아메리칸 코커 스패니얼_5,아메리칸 코커 스패니얼_6,아메리칸 코커 스패니얼_7,아메리칸 코커 스패니얼_8,아메리칸 코커 스패니얼_9,아메리칸 코커 스패니얼_10,아메리칸 코커 스패니얼_11,아메리칸 코커 스패니얼_12,아메리칸 코커 스패니얼_13,아메리칸 코커 스패니얼_14,아메리칸 코커 스패니얼_15,아메리칸 코커 스패니얼_16,아메리칸 코커 스패니얼_17,아메리칸 코커 스패니얼_18,아메리칸 코커 스패니얼_19,아메리칸 코커 스패니얼_20
Puppy,0.0,0.0,57.98565673828125,97.8748779296875,0.0,57.48078536987305,0.0,0.0,60.013614654541016,0.0,0.0,72.5986099243164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,0.0,0.0,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,0.0,0.0,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,0.0,0.0,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,0.0,58.022769927978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,0.0,0.0,55.9917106628418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.6884765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.18883514404297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.18883514404297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.92037200927734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.14915466308594,0.0,0.0,0.0,57.43360900878906,0.0,0.0,0.0,0.0,0.0,0.0
Afghan Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.6884651184082,0.0,0.0,0.0,0.0,0.0
Photo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.47602081298828,0.0
Photography,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.47602081298828,0.0
